"Group","Year","Date","Sport","Gold","Athlete","Age","Country","Silver","Bronze","Total"
"F","2020","01-08-2020","Floating Top Sport","22","Floating Top Athlete","999","Floating Top Country","33","44","55"
"U","2008","24/08/2008","Swimming","8","Michael Phelps","23","United States","0","0","8"
"U","2004","29/08/2004","Swimming","6","Michael Phelps","19","United States","0","2","8"
"U","2012","12/08/2012","Swimming","4","Michael Phelps","27","United States","2","0","6"
"U","2008","24/08/2008","Swimming","1","Natalie Coughlin","25","United States","2","3","6"
"R","2000","01/10/2000","Gymnastics","2","Aleksey Nemov","24","Russia","1","3","6"
"A","2012","12/08/2012","Swimming","1","Alicia Coutts","24","Australia","3","1","5"
"U","2012","12/08/2012","Swimming","4","Missy Franklin","17","United States","0","1","5"
"U","2012","12/08/2012","Swimming","2","Ryan Lochte","27","United States","2","1","5"
"U","2012","12/08/2012","Swimming","3","Allison Schmitt","22","United States","1","1","5"
"U","2004","29/08/2004","Swimming","2","Natalie Coughlin","21","United States","2","1","5"
"A","2000","01/10/2000","Swimming","3","Ian Thorpe","17","Australia","2","0","5"
"U","2000","01/10/2000","Swimming","2","Dara Torres","33","United States","0","3","5"
"C","2006","26/02/2006","Speed Skating","1","Cindy Klassen","26","Canada","2","2","5"
"U","2008","24/08/2008","Gymnastics","1","Nastia Liukin","18","United States","3","1","5"
"N","2010","28/02/2010","Cross Country Skiing","3","Marit Bjørgen","29","Norway","1","1","5"
"C","2012","12/08/2012","Swimming","2","Sun Yang","20","China","1","1","4"
"Z","2008","24/08/2008","Swimming","1","Kirsty Coventry","24","Zimbabwe","3","0","4"
"A","2008","24/08/2008","Swimming","2","Libby Lenton-Trickett","23","Australia","1","1","4"
"U","2008","24/08/2008","Swimming","2","Ryan Lochte","24","United States","0","2","4"
"N","2004","29/08/2004","Swimming","1","Inge de Bruijn","30","Netherlands","1","2","4"
"A","2004","29/08/2004","Swimming","3","Petria Thomas","28","Australia","1","0","4"
"A","2004","29/08/2004","Swimming","2","Ian Thorpe","21","Australia","1","1","4"
"N","2000","01/10/2000","Swimming","3","Inge de Bruijn","27","Netherlands","1","0","4"
"U","2000","01/10/2000","Swimming","2","Gary Hall Jr.","25","United States","1","1","4"
"A","2000","01/10/2000","Swimming","2","Michael Klim","23","Australia","2","0","4"
"A","2000","01/10/2000","Swimming","1","Susie O'Neill","27","Australia","3","0","4"
"U","2000","01/10/2000","Swimming","3","Jenny Thompson","27","United States","0","1","4"
"N","2000","01/10/2000","Swimming","2","Pieter van den Hoogenband","22","Netherlands","0","2","4"
"S","2006","26/02/2006","Short-Track Speed Skating","3","An Hyeon-Su","20","South Korea","0","1","4"
"R","2012","12/08/2012","Gymnastics","1","Aliya Mustafina","17","Russia","1","2","4"
"U","2008","24/08/2008","Gymnastics","1","Shawn Johnson","16","United States","3","0","4"
"R","2000","01/10/2000","Diving","1","Dmitry Sautin","26","Russia","1","2","4"
"N","2000","01/10/2000","Cycling","3","Leontien Zijlaard-van Moorsel","30","Netherlands","1","0","4"
"N","2010","28/02/2010","Cross Country Skiing","2","Petter Northug Jr.","24","Norway","1","1","4"
"N","2002","24/02/2002","Biathlon","4","Ole Einar Bjørndalen","28","Norway","0","0","4"
"C","2002","24/02/2002","Alpine Skiing","3","Janica Kostelic","20","Croatia","1","0","4"
"U","2012","12/08/2012","Swimming","2","Nathan Adrian","23","United States","1","0","3"
"F","2012","12/08/2012","Swimming","2","Yannick Agnel","20","France","1","0","3"
"A","2012","12/08/2012","Swimming","1","Brittany Elmslie","18","Australia","2","0","3"
"U","2012","12/08/2012","Swimming","2","Matt Grevers","27","United States","1","0","3"
"J","2012","12/08/2012","Swimming","0","Ryosuke Irie","22","Japan","2","1","3"
"U","2012","12/08/2012","Swimming","1","Cullen Jones","28","United States","2","0","3"
"N","2012","12/08/2012","Swimming","2","Ranomi Kromowidjojo","21","Netherlands","1","0","3"
"F","2012","12/08/2012","Swimming","1","Camille Muffat","22","France","1","1","3"
"A","2012","12/08/2012","Swimming","1","Mel Schlanger","25","Australia","2","0","3"
"A","2012","12/08/2012","Swimming","1","Emily Seebohm","20","Australia","2","0","3"
"U","2012","12/08/2012","Swimming","2","Rebecca Soni","25","United States","1","0","3"
"J","2012","12/08/2012","Swimming","0","Satomi Suzuki","21","Japan","1","2","3"
"U","2012","12/08/2012","Swimming","3","Dana Vollmer","24","United States","0","0","3"
"F","2008","24/08/2008","Swimming","1","Alain Bernard","25","France","1","1","3"
"H","2008","24/08/2008","Swimming","0","László Cseh Jr.","22","Hungary","3","0","3"
"U","2008","24/08/2008","Swimming","2","Matt Grevers","23","United States","1","0","3"
"U","2008","24/08/2008","Swimming","0","Margaret Hoelzer","25","United States","2","1","3"
"U","2008","24/08/2008","Swimming","0","Katie Hoff","19","United States","1","2","3"
"A","2008","24/08/2008","Swimming","2","Leisel Jones","22","Australia","1","0","3"
"J","2008","24/08/2008","Swimming","2","Kosuke Kitajima","25","Japan","0","1","3"
"A","2008","24/08/2008","Swimming","0","Andrew Lauterstein","21","Australia","1","2","3"
"U","2008","24/08/2008","Swimming","2","Jason Lezak","32","United States","0","1","3"
"C","2008","24/08/2008","Swimming","0","Pang Jiaying","23","China","1","2","3"
"U","2008","24/08/2008","Swimming","2","Aaron Peirsol","25","United States","1","0","3"
"A","2008","24/08/2008","Swimming","3","Steph Rice","20","Australia","0","0","3"
"A","2008","24/08/2008","Swimming","1","Jess Schipper","21","Australia","0","2","3"
"U","2008","24/08/2008","Swimming","1","Rebecca Soni","21","United States","2","0","3"
"A","2008","24/08/2008","Swimming","0","Eamon Sullivan","22","Australia","2","1","3"
"U","2008","24/08/2008","Swimming","0","Dara Torres","41","United States","3","0","3"
"U","2004","29/08/2004","Swimming","1","Amanda Beard","22","United States","2","0","3"
"G","2004","29/08/2004","Swimming","0","Antje Buschschulte","25","Germany","0","3","3"
"Z","2004","29/08/2004","Swimming","1","Kirsty Coventry","20","Zimbabwe","1","1","3"
"U","2004","29/08/2004","Swimming","1","Ian Crocker","21","United States","1","1","3"
"A","2004","29/08/2004","Swimming","1","Grant Hackett","24","Australia","2","0","3"
"U","2004","29/08/2004","Swimming","1","Brendan Hansen","22","United States","1","1","3"
"A","2004","29/08/2004","Swimming","3","Jodie Henry","20","Australia","0","0","3"
"P","2004","29/08/2004","Swimming","1","Otylia Jedrzejczak","20","Poland","2","0","3"
"A","2004","29/08/2004","Swimming","1","Leisel Jones","18","Australia","1","1","3"
"J","2004","29/08/2004","Swimming","2","Kosuke Kitajima","21","Japan","0","1","3"
"F","2004","29/08/2004","Swimming","1","Laure Manaudou","17","France","1","1","3"
"U","2004","29/08/2004","Swimming","3","Aaron Peirsol","21","United States","0","0","3"
"U","2004","29/08/2004","Swimming","1","Kaitlin Sandeno","21","United States","1","1","3"
"S","2004","29/08/2004","Swimming","1","Roland Schoeman","24","South Africa","1","1","3"
"N","2004","29/08/2004","Swimming","1","Pieter van den Hoogenband","26","Netherlands","2","0","3"
"S","2000","01/10/2000","Swimming","0","Therese Alshammar","23","Sweden","2","1","3"
"U","2000","01/10/2000","Swimming","2","Yana Klochkova","18","Ukraine","1","0","3"
"U","2000","01/10/2000","Swimming","3","Lenny Krayzelburg","24","United States","0","0","3"
"I","2000","01/10/2000","Swimming","1","Massimiliano Rosolino","22","Italy","1","1","3"
"A","2000","01/10/2000","Swimming","0","Petria Thomas","25","Australia","2","1","3"
"A","2000","01/10/2000","Swimming","0","Matt Welsh","23","Australia","2","1","3"
"S","2010","28/02/2010","Short-Track Speed Skating","2","Lee Jeong-Su","20","South Korea","1","0","3"
"U","2010","28/02/2010","Short-Track Speed Skating","0","Apolo Anton Ohno","27","United States","1","2","3"
"C","2010","28/02/2010","Short-Track Speed Skating","3","Wang Meng","24","China","0","0","3"
"S","2006","26/02/2006","Short-Track Speed Skating","3","Jin Seon-Yu","17","South Korea","0","0","3"
"S","2006","26/02/2006","Short-Track Speed Skating","1","Lee Ho-Seok","19","South Korea","2","0","3"
"U","2006","26/02/2006","Short-Track Speed Skating","1","Apolo Anton Ohno","23","United States","0","2","3"
"C","2006","26/02/2006","Short-Track Speed Skating","1","Wang Meng","20","China","1","1","3"
"C","2002","24/02/2002","Short-Track Speed Skating","2","Marc Gagnon","26","Canada","0","1","3"
"C","2002","24/02/2002","Short-Track Speed Skating","2","Yang Yang (A)","25","China","1","0","3"
"G","2010","28/02/2010","Speed Skating","1","Stephanie Beckert","21","Germany","2","0","3"
"C","2010","28/02/2010","Speed Skating","2","Martina Sáblíková","22","Czech Republic","0","1","3"
"I","2006","26/02/2006","Speed Skating","2","Enrico Fabris","24","Italy","0","1","3"
"U","2006","26/02/2006","Speed Skating","1","Chad Hedrick","28","United States","1","1","3"
"N","2002","24/02/2002","Speed Skating","2","Jochem Uytdehaage","25","Netherlands","1","0","3"
"G","2002","24/02/2002","Speed Skating","0","Sabine Völker","28","Germany","2","1","3"
"A","2010","28/02/2010","Ski Jumping","1","Gregor Schlierenzauer","20","Austria","0","2","3"
"N","2006","26/02/2006","Ski Jumping","1","Lars Bystøl","27","Norway","0","2","3"
"U","2010","28/02/2010","Nordic Combined","0","Johnny Spillane","29","United States","3","0","3"
"A","2006","26/02/2006","Nordic Combined","2","Felix Gottwald","30","Austria","1","0","3"
"G","2006","26/02/2006","Nordic Combined","1","Georg Hettich","27","Germany","1","1","3"
"A","2002","24/02/2002","Nordic Combined","0","Felix Gottwald","26","Austria","0","3","3"
"F","2002","24/02/2002","Nordic Combined","3","Samppa Lajunen","22","Finland","0","0","3"
"U","2012","12/08/2012","Gymnastics","2","Aly Raisman","18","United States","0","1","3"
"J","2012","12/08/2012","Gymnastics","1","Kohei Uchimura","23","Japan","2","0","3"
"C","2012","12/08/2012","Gymnastics","2","Zou Kai","24","China","0","1","3"
"C","2008","24/08/2008","Gymnastics","1","Cheng Fei","20","China","0","2","3"
"C","2008","24/08/2008","Gymnastics","2","Yang Wei","28","China","1","0","3"
"C","2008","24/08/2008","Gymnastics","1","Yang Yilin","15","China","0","2","3"
"C","2008","24/08/2008","Gymnastics","3","Zou Kai","20","China","0","0","3"
"R","2004","29/08/2004","Gymnastics","0","Marian Dragulescu","23","Romania","1","2","3"
"U","2004","29/08/2004","Gymnastics","1","Paul Hamm","21","United States","2","0","3"
"U","2004","29/08/2004","Gymnastics","1","Carly Patterson","16","United States","2","0","3"
"R","2004","29/08/2004","Gymnastics","3","Catalina Ponor","16","Romania","0","0","3"
"R","2000","01/10/2000","Gymnastics","2","Simona Amânar","20","Romania","0","1","3"
"R","2000","01/10/2000","Gymnastics","1","Svetlana Khorkina","21","Russia","2","0","3"
"R","2000","01/10/2000","Gymnastics","0","Yekaterina Lobaznyuk","17","Russia","2","1","3"
"R","2000","01/10/2000","Gymnastics","2","Yelena Zamolodchikova","17","Russia","1","0","3"
"C","2012","12/08/2012","Cycling","0","Guo Shuang","26","China","2","1","3"
"G","2008","24/08/2008","Cycling","3","Chris Hoy","32","Great Britain","0","0","3"
"G","2004","29/08/2004","Cycling","1","Bradley Wiggins","24","Great Britain","1","1","3"
"F","2000","01/10/2000","Cycling","2","Florian Rousseau","26","France","1","0","3"
"P","2010","28/02/2010","Cross Country Skiing","1","Justyna Kowalczyk","27","Poland","1","1","3"
"S","2010","28/02/2010","Cross Country Skiing","1","Johan Olsson","29","Sweden","0","2","3"
"I","2002","24/02/2002","Cross Country Skiing","1","Stefania Belmondo","33","Italy","1","1","3"
"R","2002","24/02/2002","Cross Country Skiing","1","Yuliya Chepalova","25","Russia","1","1","3"
"N","2002","24/02/2002","Cross Country Skiing","2","Frode Estil","29","Norway","1","0","3"
"N","2002","24/02/2002","Cross Country Skiing","1","Bente Skari-Martinsen","29","Norway","1","1","3"
"G","2010","28/02/2010","Biathlon","2","Magdalena Neuner","23","Germany","1","0","3"
"N","2010","28/02/2010","Biathlon","2","Emil Hegle Svendsen","24","Norway","1","0","3"
"R","2006","26/02/2006","Biathlon","1","Albina Akhatova","29","Russia","0","2","3"
"N","2006","26/02/2006","Biathlon","0","Ole Einar Bjørndalen","32","Norway","2","1","3"
"G","2006","26/02/2006","Biathlon","2","Sven Fischer","34","Germany","0","1","3"
"G","2006","26/02/2006","Biathlon","0","Martina Glagow-Beck","26","Germany","3","0","3"
"G","2006","26/02/2006","Biathlon","3","Michael Greis","29","Germany","0","0","3"
"G","2006","26/02/2006","Biathlon","1","Kati Wilhelm","29","Germany","2","0","3"
"G","2002","24/02/2002","Biathlon","2","Kati Wilhelm","25","Germany","1","0","3"
"J","2012","12/08/2012","Athletics","1","Yohan Blake","22","Jamaica","2","0","3"
"J","2012","12/08/2012","Athletics","3","Usain Bolt","25","Jamaica","0","0","3"
"U","2012","12/08/2012","Athletics","3","Allyson Felix","26","United States","0","0","3"
"J","2012","12/08/2012","Athletics","1","Shelly-Ann Fraser-Pryce","25","Jamaica","2","0","3"
"U","2012","12/08/2012","Athletics","1","Carmelita Jeter","32","United States","1","1","3"
"J","2008","24/08/2008","Athletics","3","Usain Bolt","21","Jamaica","0","0","3"
"J","2004","29/08/2004","Athletics","2","Veronica Campbell-Brown","22","Jamaica","0","1","3"
"U","2004","29/08/2004","Athletics","1","Justin Gatlin","22","United States","1","1","3"
"U","2010","28/02/2010","Alpine Skiing","1","Bode Miller","32","United States","1","1","3"
"N","2010","28/02/2010","Alpine Skiing","1","Aksel Lund Svindal","27","Norway","1","1","3"
"S","2006","26/02/2006","Alpine Skiing","1","Anja Pärson","24","Sweden","0","2","3"
"A","2002","24/02/2002","Alpine Skiing","1","Stephan Eberharter","32","Austria","1","1","3"
"C","2012","12/08/2012","Table Tennis","1","Ding Ning","22","China","1","0","2"
"S","2012","12/08/2012","Table Tennis","0","Feng Tian Wei","25","Singapore","0","2","2"
"C","2012","12/08/2012","Table Tennis","2","Li Xiaoxia","24","China","0","0","2"
"G","2012","12/08/2012","Table Tennis","0","Dmitrij Ovtcharov","23","Germany","0","2","2"
"C","2012","12/08/2012","Table Tennis","1","Wang Hao","28","China","1","0","2"
"C","2012","12/08/2012","Table Tennis","2","Zhang Jike","24","China","0","0","2"
"C","2008","24/08/2008","Table Tennis","1","Guo Yue","20","China","0","1","2"
"C","2008","24/08/2008","Table Tennis","2","Ma Lin","28","China","0","0","2"
"C","2008","24/08/2008","Table Tennis","1","Wang Hao","24","China","1","0","2"
"C","2008","24/08/2008","Table Tennis","1","Wang Liqin","30","China","0","1","2"
"C","2008","24/08/2008","Table Tennis","1","Wang Nan","29","China","1","0","2"
"C","2008","24/08/2008","Table Tennis","2","Zhang Yining","26","China","0","0","2"
"C","2004","29/08/2004","Table Tennis","2","Zhang Yining","22","China","0","0","2"
"C","2000","01/10/2000","Table Tennis","1","Kong Linghui","24","China","1","0","2"
"C","2000","01/10/2000","Table Tennis","1","Li Ju","24","China","1","0","2"
"C","2000","01/10/2000","Table Tennis","0","Liu Guoliang","24","China","1","1","2"
"C","2000","01/10/2000","Table Tennis","2","Wang Nan","21","China","0","0","2"
"B","2012","12/08/2012","Tennis","1","Viktoriya Azarenko","22","Belarus","0","1","2"
"U","2012","12/08/2012","Tennis","1","Mike Bryan","34","United States","0","1","2"
"G","2012","12/08/2012","Tennis","1","Andy Murray","25","Great Britain","1","0","2"
"U","2012","12/08/2012","Tennis","2","Serena Williams","30","United States","0","0","2"
"C","2004","29/08/2004","Tennis","1","Fernando González","24","Chile","0","1","2"
"C","2004","29/08/2004","Tennis","2","Nicolás Massú","26","Chile","0","0","2"
"U","2000","01/10/2000","Tennis","2","Venus Williams","20","United States","0","0","2"
"S","2012","12/08/2012","Synchronized Swimming","0","Ona Carbonell","22","Spain","1","1","2"
"S","2012","12/08/2012","Synchronized Swimming","0","Andrea Fuentes","29","Spain","1","1","2"
"C","2012","12/08/2012","Synchronized Swimming","0","Huang Xuechen","22","China","1","1","2"
"R","2012","12/08/2012","Synchronized Swimming","2","Nataliya Ishchenko","26","Russia","0","0","2"
"C","2012","12/08/2012","Synchronized Swimming","0","Liu Ou","25","China","1","1","2"
"R","2012","12/08/2012","Synchronized Swimming","2","Svetlana Romashina","22","Russia","0","0","2"
"R","2008","24/08/2008","Synchronized Swimming","2","Anastasiya Davydova","25","Russia","0","0","2"
"S","2008","24/08/2008","Synchronized Swimming","0","Andrea Fuentes","25","Spain","2","0","2"
"S","2008","24/08/2008","Synchronized Swimming","0","Gemma Mengual","31","Spain","2","0","2"
"R","2008","24/08/2008","Synchronized Swimming","2","Anastasiya Yermakova","25","Russia","0","0","2"
"U","2004","29/08/2004","Synchronized Swimming","0","Alison Bartosik","21","United States","0","2","2"
"R","2004","29/08/2004","Synchronized Swimming","2","Anastasiya Davydova","21","Russia","0","0","2"
"U","2004","29/08/2004","Synchronized Swimming","0","Anna Kozlova","31","United States","0","2","2"
"J","2004","29/08/2004","Synchronized Swimming","0","Miya Tachibana","29","Japan","2","0","2"
"J","2004","29/08/2004","Synchronized Swimming","0","Miho Takeda","27","Japan","2","0","2"
"R","2004","29/08/2004","Synchronized Swimming","2","Anastasiya Yermakova","21","Russia","0","0","2"
"R","2000","01/10/2000","Synchronized Swimming","2","Olga Brusnikina","21","Russia","0","0","2"
"R","2000","01/10/2000","Synchronized Swimming","2","Mariya Kiselyova","25","Russia","0","0","2"
"J","2000","01/10/2000","Synchronized Swimming","0","Miya Tachibana","25","Japan","2","0","2"
"J","2000","01/10/2000","Synchronized Swimming","0","Miho Takeda","24","Japan","2","0","2"
"G","2012","12/08/2012","Swimming","0","Becky Adlington","23","Great Britain","0","2","2"
"A","2012","12/08/2012","Swimming","0","Bronte Barratt","23","Australia","1","1","2"
"U","2012","12/08/2012","Swimming","0","Elizabeth Beisel","19","United States","1","1","2"
"S","2012","12/08/2012","Swimming","0","Mireia Belmonte","21","Spain","2","0","2"
"U","2012","12/08/2012","Swimming","1","Ricky Berens","24","United States","1","0","2"
"B","2012","12/08/2012","Swimming","0","Aleksandra Gerasimenya","26","Belarus","2","0","2"
"U","2012","12/08/2012","Swimming","1","Brendan Hansen","30","United States","0","1","2"
"U","2012","12/08/2012","Swimming","1","Jessica Hardy","25","United States","0","1","2"
"S","2012","12/08/2012","Swimming","1","Chad le Clos","20","South Africa","1","0","2"
"F","2012","12/08/2012","Swimming","1","Clément Lefert","24","France","1","0","2"
"F","2012","12/08/2012","Swimming","1","Amaury Leveaux","26","France","1","0","2"
"A","2012","12/08/2012","Swimming","0","James Magnussen","21","Australia","1","1","2"
"J","2012","12/08/2012","Swimming","0","Takeshi Matsuda","28","Japan","1","1","2"
"T","2012","12/08/2012","Swimming","1","Oussama Mellouli","28","Tunisia","0","1","2"
"S","2012","12/08/2012","Swimming","0","Park Tae-Hwan","22","South Korea","2","0","2"
"A","2012","12/08/2012","Swimming","0","Christian Sprenger","26","Australia","1","1","2"
"F","2012","12/08/2012","Swimming","1","Jeremy Stravius","24","France","1","0","2"
"J","2012","12/08/2012","Swimming","0","Aya Terakawa","27","Japan","0","2","2"
"U","2012","12/08/2012","Swimming","1","Nick Thoman","26","United States","1","0","2"
"N","2012","12/08/2012","Swimming","0","Marleen Veldhuis","33","Netherlands","1","1","2"
"C","2012","12/08/2012","Swimming","2","Ye Shiwen","16","China","0","0","2"
"G","2008","24/08/2008","Swimming","2","Becky Adlington","19","Great Britain","0","0","2"
"A","2008","24/08/2008","Swimming","0","Leith Brodie","22","Australia","0","2","2"
"A","2008","24/08/2008","Swimming","0","Cate Campbell","16","Australia","0","2","2"
"B","2008","24/08/2008","Swimming","1","César Cielo Filho","21","Brazil","0","1","2"
"F","2008","24/08/2008","Swimming","0","Hugues Duboscq","26","France","0","2","2"
"A","2008","24/08/2008","Swimming","2","Felicity Galvez","23","Australia","0","0","2"
"A","2008","24/08/2008","Swimming","0","Grant Hackett","28","Australia","1","1","2"
"U","2008","24/08/2008","Swimming","0","Kara Lynn Joyce","22","United States","2","0","2"
"F","2008","24/08/2008","Swimming","0","Amaury Leveaux","22","France","2","0","2"
"U","2008","24/08/2008","Swimming","0","Christine Magnuson","22","United States","2","0","2"
"A","2008","24/08/2008","Swimming","0","Patrick Murphy","24","Australia","0","2","2"
"S","2008","24/08/2008","Swimming","1","Park Tae-Hwan","18","South Korea","1","0","2"
"A","2008","24/08/2008","Swimming","1","Shayne Reese","25","Australia","0","1","2"
"A","2008","24/08/2008","Swimming","0","Brenton Rickard","24","Australia","2","0","2"
"A","2008","24/08/2008","Swimming","1","Mel Schlanger","21","Australia","0","1","2"
"U","2008","24/08/2008","Swimming","0","Julia Smit","20","United States","1","1","2"
"G","2008","24/08/2008","Swimming","2","Britta Steffen","24","Germany","0","0","2"
"A","2008","24/08/2008","Swimming","0","Hayden Stoeckel","24","Australia","1","1","2"
"A","2008","24/08/2008","Swimming","0","Matt Targett","22","Australia","1","1","2"
"U","2008","24/08/2008","Swimming","1","Peter Vanderkaay","24","United States","0","1","2"
"R","2008","24/08/2008","Swimming","0","Arkady Vyachanin","24","Russia","0","2","2"
"U","2008","24/08/2008","Swimming","2","Garrett Weber-Gale","23","United States","0","0","2"
"U","2004","29/08/2004","Swimming","1","Lindsay Benko","27","United States","1","0","2"
"U","2004","29/08/2004","Swimming","1","Gary Hall Jr.","29","United States","0","1","2"
"A","2004","29/08/2004","Swimming","1","Brooke Hanson","26","Australia","1","0","2"
"U","2004","29/08/2004","Swimming","0","Kara Lynn Joyce","18","United States","2","0","2"
"U","2004","29/08/2004","Swimming","1","Klete Keller","22","United States","0","1","2"
"U","2004","29/08/2004","Swimming","2","Yana Klochkova","22","Ukraine","0","0","2"
"U","2004","29/08/2004","Swimming","1","Rachel Komisarz","27","United States","1","0","2"
"A","2004","29/08/2004","Swimming","1","Libby Lenton-Trickett","19","Australia","0","1","2"
"U","2004","29/08/2004","Swimming","1","Jason Lezak","28","United States","0","1","2"
"U","2004","29/08/2004","Swimming","1","Ryan Lochte","20","United States","1","0","2"
"A","2004","29/08/2004","Swimming","2","Alice Mills","18","Australia","0","0","2"
"J","2004","29/08/2004","Swimming","0","Tomomi Morita","19","Japan","0","2","2"
"A","2004","29/08/2004","Swimming","0","Markus Rogan","22","Austria","2","0","2"
"U","2004","29/08/2004","Swimming","0","Jenny Thompson","31","United States","2","0","2"
"G","2004","29/08/2004","Swimming","0","Franziska van Almsick","26","Germany","0","2","2"
"U","2004","29/08/2004","Swimming","1","Neil Walker","28","United States","0","1","2"
"U","2004","29/08/2004","Swimming","0","Amanda Weir","18","United States","2","0","2"
"J","2004","29/08/2004","Swimming","0","Takashi Yamamoto","26","Japan","1","1","2"
"U","2000","01/10/2000","Swimming","2","Brooke Bennett","20","United States","0","0","2"
"R","2000","01/10/2000","Swimming","0","Beatrice Coada-Caslaru","25","Romania","1","1","2"
"U","2000","01/10/2000","Swimming","0","Josh Davis","28","United States","2","0","2"
"U","2000","01/10/2000","Swimming","1","Tom Dolan","25","United States","1","0","2"
"U","2000","01/10/2000","Swimming","1","Anthony Ervin","19","United States","1","0","2"
"I","2000","01/10/2000","Swimming","2","Domenico Fioravanti","23","Italy","0","0","2"
"A","2000","01/10/2000","Swimming","2","Grant Hackett","20","Australia","0","0","2"
"A","2000","01/10/2000","Swimming","0","Geoff Huegill","21","Australia","1","1","2"
"A","2000","01/10/2000","Swimming","0","Leisel Jones","15","Australia","2","0","2"
"U","2000","01/10/2000","Swimming","0","Klete Keller","18","United States","1","1","2"
"U","2000","01/10/2000","Swimming","1","Jason Lezak","24","United States","1","0","2"
"R","2000","01/10/2000","Swimming","2","Diana Mocanu","16","Romania","0","0","2"
"S","2000","01/10/2000","Swimming","0","Martina Moravcová","24","Slovakia","2","0","2"
"U","2000","01/10/2000","Swimming","1","Ed Moses","20","United States","1","0","2"
"U","2000","01/10/2000","Swimming","1","Diana Munz","18","United States","1","0","2"
"J","2000","01/10/2000","Swimming","0","Mai Nakamura","21","Japan","1","1","2"
"A","2000","01/10/2000","Swimming","2","Todd Pearson","22","Australia","0","0","2"
"A","2000","01/10/2000","Swimming","1","Adam Pine","24","Australia","1","0","2"
"C","2000","01/10/2000","Swimming","0","Claudia Poll","27","Costa Rica","0","2","2"
"U","2000","01/10/2000","Swimming","2","Megan Quann-Jendrick","16","United States","0","0","2"
"A","2000","01/10/2000","Swimming","0","Giaan Rooney","17","Australia","2","0","2"
"U","2000","01/10/2000","Swimming","2","Courtney Shealy","22","United States","0","0","2"
"U","2000","01/10/2000","Swimming","2","Ashley Tappin","25","United States","0","0","2"
"G","2000","01/10/2000","Swimming","0","Stev Theloke","22","Germany","0","2","2"
"U","2000","01/10/2000","Swimming","2","Amy Van Dyken","27","United States","0","0","2"
"U","2000","01/10/2000","Swimming","1","Neil Walker","24","United States","1","0","2"
"U","2010","28/02/2010","Short-Track Speed Skating","0","J. R. Celski","19","United States","0","2","2"
"C","2010","28/02/2010","Short-Track Speed Skating","2","Charles Hamelin","25","Canada","0","0","2"
"S","2010","28/02/2010","Short-Track Speed Skating","0","Lee Ho-Seok","23","South Korea","2","0","2"
"S","2010","28/02/2010","Short-Track Speed Skating","0","Park Seung-Hui","17","South Korea","0","2","2"
"U","2010","28/02/2010","Short-Track Speed Skating","0","Katherine Reutter","21","United States","1","1","2"
"S","2010","28/02/2010","Short-Track Speed Skating","0","Seong Si-Baek","22","South Korea","2","0","2"
"C","2010","28/02/2010","Short-Track Speed Skating","0","Marianne St-Gelais","19","Canada","2","0","2"
"C","2010","28/02/2010","Short-Track Speed Skating","1","François-Louis Tremblay","29","Canada","0","1","2"
"C","2010","28/02/2010","Short-Track Speed Skating","2","Zhou Yang","18","China","0","0","2"
"S","2006","26/02/2006","Short-Track Speed Skating","1","Choi Eun-Gyeong","21","South Korea","1","0","2"
"C","2006","26/02/2006","Short-Track Speed Skating","0","Anouk Leblanc-Boucher","21","Canada","1","1","2"
"C","2006","26/02/2006","Short-Track Speed Skating","0","François-Louis Tremblay","25","Canada","2","0","2"
"S","2002","24/02/2002","Short-Track Speed Skating","1","Choi Eun-Gyeong","17","South Korea","1","0","2"
"S","2002","24/02/2002","Short-Track Speed Skating","1","Go Gi-Hyeon","15","South Korea","1","0","2"
"C","2002","24/02/2002","Short-Track Speed Skating","1","Jonathan Guilmette","23","Canada","1","0","2"
"C","2002","24/02/2002","Short-Track Speed Skating","0","Li Jiajun","26","China","1","1","2"
"U","2002","24/02/2002","Short-Track Speed Skating","1","Apolo Anton Ohno","19","United States","1","0","2"
"B","2002","24/02/2002","Short-Track Speed Skating","0","Evgeniya Radanova","24","Bulgaria","1","1","2"
"C","2002","24/02/2002","Short-Track Speed Skating","1","Mathieu Turcotte","25","Canada","0","1","2"
"C","2002","24/02/2002","Short-Track Speed Skating","0","Wang Chunlu","23","China","1","1","2"
"C","2002","24/02/2002","Short-Track Speed Skating","0","Yang Yang (S)","24","China","1","1","2"
"U","2010","28/02/2010","Speed Skating","1","Shani Davis","27","United States","1","0","2"
"C","2010","28/02/2010","Speed Skating","0","Kristina Groves","33","Canada","1","1","2"
"U","2010","28/02/2010","Speed Skating","0","Chad Hedrick","32","United States","1","1","2"
"N","2010","28/02/2010","Speed Skating","1","Sven Kramer","23","Netherlands","0","1","2"
"S","2010","28/02/2010","Speed Skating","1","Lee Seung-Hun","21","South Korea","1","0","2"
"S","2010","28/02/2010","Speed Skating","1","Mo Tae-Beom","21","South Korea","1","0","2"
"R","2010","28/02/2010","Speed Skating","0","Ivan Skobrev","27","Russia","1","1","2"
"N","2010","28/02/2010","Speed Skating","1","Mark Tuitert","29","Netherlands","0","1","2"
"U","2006","26/02/2006","Speed Skating","1","Joey Cheek","26","United States","1","0","2"
"U","2006","26/02/2006","Speed Skating","1","Shani Davis","23","United States","1","0","2"
"G","2006","26/02/2006","Speed Skating","1","Anni Friesinger-Postma","29","Germany","0","1","2"
